买方客户,得分
999800008357CF,39.6
999800047286SR,60
999800024785SR,24
999800018154SR,60
999800033333CF,55.8
999800026989SR,36
999800028240SR,60
999800044367SR,60
999800020166SR,54
999800026157SR,54
999800010540CF,55.8
999800036083SR,60
999800041919SR,60
999800014423SR,24
999800003672SR,60
999800033006SR,24
999800002006SR,42
999800009008SR,36
999800032560SR,60
999800020823SR,42
999800020671SR,60
999800042823SR,36
999800046996CF,52.2
999800025485SR,60
999800046796SR,24
999800046515SR,60
999800012299CF,48
999800040036SR,60
999800015235CF,55.8
999800042925CF,39.6
999800019194SR,54
999800031665SR,30
999800006639SR,54
999800018882SR,42
999800040018SR,60
999800032057SR,60
999800012309SR,54
999800042820SR,60
999800018588SR,60
999800029146SR,60
999800018728CF,39.6
999800023193SR,60
999800029713SR,60
999800010618SR,42
999800031707SR,60
999800048710SR,24
999800023637SR,60
999800045933SR,54
999800036838CF,31.8
999800021132SR,24
999800005423SR,24
999800007529SR,60
999800011557SR,42
999800011396SR,42
999800025785SR,60
999800038307SR,60
999800043015SR,60
999800030787SR,60
999800032220SR,54
999800015080SR,60
999800010991SR,60
999800031485SR,60
999800017422SR,60
999800040104SR,24
999800005564SR,54
999800018835SR,42
999800006586SR,54
999800010335SR,54
999800003676SR,60
999800021607SR,54
999800041255SR,60
999800037728SR,60
999800040941SR,54
999800039233SR,36
999800028952SR,42
999800040045CF,36
999800021776SR,42
999800033410SR,24
999800043832SR,60
999800031545SR,54
999800007579SR,60
999800035343SR,42
999800027582SR,60
999800018326SR,24
999800047361SR,42
999800012646SR,54
999800022484SR,54
999800024207SR,42
999800003772SR,42
999800024104SR,60
999800047971CF,31.8
999800000768SR,42
999800029552SR,60
999800035627CF,48
999800021880CF,19.8
999800043128SR,42
999800015249SR,36
999800034817SR,36
999800042500SR,60
999800028179SR,42
999800039227SR,42
999800016654SR,60
999800002617SR,60
999800041844SR,42
999800003161SR,24
999800036253SR,24
999800015658SR,24
999800015582SR,60
999800026177CF,36
999800004192SR,48
999800032793SR,60
999800017616SR,54
999800009683SR,60
999800032538SR,36
999800042690SR,60
999800010217SR,60
999800023925CF,55.8
999800016146SR,42
999800009729SR,54
999800023990SR,60
999800004705SR,54
999800029471SR,60
999800016814SR,36
999800000320SR,60
999800036425SR,60
999800026749SR,54
999800030482SR,60
999800041784SR,42
999800000952SR,36
999800026582SR,60
999800041178SR,48
999800018130SR,54
999800001125SR,60
999800010672SR,54
999800031961SR,24
999800041841SR,60
999800048935SR,36
999800035784SR,60
999800000017SR,42
999800011931SR,60
999800001710SR,36
999800042034CF,43.8
999800011948SR,42
999800021466SR,54
999800015152CF,55.8
999800047776SR,54
999800026275SR,42
999800029724SR,60
999800036543SR,24
999800011492CF,55.8
999800035534SR,42
999800005344SR,36
999800039263CF,48
999800044613SR,54
999800013711SR,36
999800028646SR,60
999800046821SR,60
999800022535SR,60
999800040222SR,60
999800012682SR,48
999800002009SR,42
999800011231SR,60
999800009566SR,36
999800013367SR,54
999800048392SR,60
999800033052SR,60
999800039575SR,60
999800010682SR,42
999800028857SR,60
999800009077CF,43.8
999800037303CF,55.8
999800001948SR,42
999800035728SR,60
999800038315SR,24
999800008953SR,60
999800047113SR,60
999800001604CF,55.8
999800044921SR,54
999800019481SR,60
999800034908SR,54
999800019977SR,24
999800039751CF,31.8
999800003011SR,60
999800012312CF,19.8
999800042170SR,60
999800036182SR,60
999800007025SR,42
999800008545SR,60
999800020174SR,42
999800032928SR,36
999800027195SR,54
999800000762SR,60
999800019995SR,54
999800001811SR,54
999800028747SR,60
999800004648SR,42
999800018174SR,36
999800001240SR,30
999800007189SR,60
999800029847SR,54
999800003688SR,60
999800028456SR,60
999800043683SR,54
999800005389CF,27.6
999800016970SR,54
999800012042SR,60
999800046150SR,54
999800003664SR,36
